Volcano Number,Volcano Name,Country,Volcanic Region Group,Volcanic Region,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
320200,Garibaldi,Canada,North America Volcanic Regions,Garibaldi Volcanic Arc,Composite,Stratovolcano,Eruption Dated,-8060,49.85,-123,2678,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite, , , , , , , , ,0,22,16058,2264818
320190,Garibaldi Lake,Canada,North America Volcanic Regions,Garibaldi Volcanic Arc,Cluster,Volcanic field,Evidence Credible,Unknown,49.933,-123,2316,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite,Trachyandesite / Basaltic Trachyandesite, , , ,6635,6635,28109,2218089
252060,Garua Harbour,Papua New Guinea,Southwest Pacific Volcanic Regions,Bismarck Volcanic Arc,Cluster,Volcanic field,Evidence Uncertain,Unknown,-5.3,150.07,565,Subduction zone / Continental crust (>25 km),Rhyolite,Andesite / Basaltic Andesite, , , , , , , , ,12090,12090,44354,123676
257020,Gaua,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2022,-14.281,167.514,729,Subduction zone / Intermediate crust (15-25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,166,1200,2848,8834
221230,Gedemsa,Ethiopia,Eastern Africa Volcanic Regions,Main Ethiopian Rift Volcanic Province,Caldera,Caldera,Evidence Credible,Unknown,8.363,39.172,1909,Rift zone / Continental crust (>25 km),Rhyolite,Trachyte / Trachydacite, , , ,Basalt / Picro-Basalt, , , , ,216008,216008,744211,8000105
263060,Gede-Pangrango,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1957,-6.786,106.983,3026,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,2500,154390,2315469,40640105
258001,Gemini-Oscostar,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Cluster,Stratovolcano,Eruption Observed,1996,-20.957,170.13,-33,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,187
353081,Genovesa,Ecuador,Eastern Pacific Volcanic Regions,Galapagos Hotspot Volcano Group,Shield,Shield,Evidence Credible,Unknown,0.32,-89.958,64,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , , , , , , ,197,197,197,2665
214070,Ghegham Volcanic Ridge,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,Eruption Dated,-1900,40.283,45,3597,Intraplate / Continental crust (>25 km),Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , , ,1265153,1265153,1265153,3151168
321020,Glacier Peak,United States,North America Volcanic Regions,Garibaldi Volcanic Arc,Composite,Stratovolcano,Eruption Dated,1700,48.112,-121.113,3213,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,0,0,23,1340896
341097,"Gloria, La",Mexico,Middle America-Caribbean Volcanic Regions,Trans-Mexican Volcanic Arc,Cluster,Volcanic field,Evidence Credible,Unknown,19.33,-97.25,3500,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Dacite, , , , ,108512,108512,290739,5697562
253041,Goodenough,Papua New Guinea,Southwest Pacific Volcanic Regions,Trobriand Volcanic Arc,Cluster,Volcanic field,Evidence Credible,Unknown,-9.358,150.246,220,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , , , , , , ,7639,7639,17932,127955
300070,Gorely,Russia,Northwest Pacific Volcanic Regions,Kuril Volcanic Arc,Composite,Caldera,Eruption Observed,2010,52.5549,158.0358,1799,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,0,0,19,250293
382040,Graciosa,Portugal,Atlantic Ocean Volcanic Regions,Azores-Terceira Rift Volcanic Province,Composite,Stratovolcano,Eruption Dated,-1950,39.02,-27.97,402,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyte / Trachydacite, , , , , , , ,2500,5941,6153,96656
383040,Gran Canaria,Spain,Northern Africa Volcanic Regions,Canary Volcanic Province,Cluster,Fissure vent(s),Eruption Dated,40,28,-15.58,1950,Intraplate / Intermediate crust (15-25 km),Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite,Phonolite,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , ,1101,8049,697199,1119998
344101,Granada,Nicaragua,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Cluster,Fissure vent(s),Evidence Credible,Unknown,11.9,-85.979,250,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt, , , , ,Dacite, , , , ,105952,137880,678798,2722372
371060,Grimsnes,Iceland,Atlantic Ocean Volcanic Regions,Iceland Neovolcanic Rift Volcanic Province,Cluster,Volcanic field,Eruption Dated,-3500,64.05,-20.883,200,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , , , , , , ,6253,6253,11236,197798
373010,Grimsvotn,Iceland,Atlantic Ocean Volcanic Regions,Iceland Neovolcanic Rift Volcanic Province,Caldera,Caldera,Eruption Observed,2011,64.416,-17.316,1719,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,1736
352020,Guagua Pichincha,Ecuador,South America Volcanic Regions,Northern Andean Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2002,-0.171,-78.598,4784,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , , , , , , ,449,32488,2064475,3581801
355093,Guayaques,Chile-Bolivia,South America Volcanic Regions,Central Andean Volcanic Arc,Minor,Lava dome(s),Evidence Credible,Unknown,-22.895,-67.566,5598,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite, , , , , , , , ,2,26,408,9770
343052,Guazapa,El Salvador,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,13.9,-89.12,1438,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt, , , , , , , , , ,6492,94131,2488228,6800406
